objectid,filename,title,format,publisher,creator,illustrator,date,language,source,subject,chapter-listings,longitude,publisher-digital,rights,rightsstatement,relation
coll011,lostprincessofoz00baum.pdf,The Lost Princess of Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1917,English,https://archive.org/details/lostprincessofoz00baum,Dorothy Gale; Betsy Bobbin; Trot; Button-Bright; Wizard of Oz; Patchwork Girl; Cowardly Lion; Woozy; Ugu the Shoemaker; Jellia Jamb; Ozma; Glinda; Ojo; Cap'n Bill; Sawhorse; Toto; Frogman; Cayke; Lavender Bear; Scarecrow; Tin Woodman; Quadling Country; Emerald City of Oz; Winkie Country; Unc Nunkie; Dr. Pipt; Munchkin Country; Quadling Country; Gillikin Country; Tik-Tok; Jack Pumpkinhead; Shaggy Man; Winkie Country; Thi; Herku; Merry-Go-Round Mountains; Cowardly Lion,"A Terrible Loss, The Troubles of Glinda the Good, Of Cayke the Cookie Cook, Among the Winkies, Ozma's Friends Are Perplexed, The Search Party, The Merry-Go-Round Mountains, The Mysterious City, The High Coco-Lorum of Thi, Toto Loses Something, Button-Bright Loses Himself, Czarover of Herku, Truth Pond, The Unhappy Ferryman, The Big Lavender Bear, The Little Pink Bear, The Meeting, The Conference, Ugu the Shoemaker, More Surprises, Magic Against Magic, In the Wicker Castle, The Defiance of Ugu the Shoemaker, The Little Pink Bear Speaks Truly, Ozma of Oz, Dorothy Forgives",,,Public Domain; 1993,,
coll012,tinwoodmanofozil0000unse.pdf,The Tin Woodman of Oz,application/pdf,Reilly & Lee,L. Frank Baum,John R. Neill,1918,English,https://archive.org/details/tinwoodmanofozil0000unse,Woot the Wanderer; Tin Woodman; Scarecrow; Polychrome; Captain Fyter; Mrs. Yoop; Hip-po-gy-raf; jaguar; Loons; Tommy Kwikstep; Jinjur; Ozma; Dorothy Gale; Toto; Ku-Klip; Professor Grunter Swyne; Mrs. Squealina Swyne; Nimmie Amee; Chopfyt; Betsy Bobbin; Trot; Glinda; Tin Castle; Winkie Country; Scarecrow; Wicked Witch of the East; Wizard of Oz; Loonville; Polychrome; Emerald City of Oz; Gillikin Country,"Woot the Wanderer, The Heart of the Tin Woodman, Roundabout, The Loons of Loonville, Mrs. Yoop, the Giantess, The Magic of a Yookoohoo, The Lace Apron, The Menace of the Forest, The Quarrelsome Dragons, Tommy Kwikstep, Jinjur's Ranch, Ozma and Dorothy, The Restoration, The Green Monkey, The Man of Tin, Captain Fyter, The Workshop of Ku-Klip, The Tin Woodman Talks to Himself, The Invisible Country, Over Night, Polychrome's Magic, Nimmie Amee, Through the Tunnel, The Curtain Falls",,,Public Domain; 1994,,
coll013,magicofozfaithfu0000lfra.pdf,The Magic of Oz,application/pdf,Reilly & Lee,L. Frank Baum,John R. Neill,1919,English,https://archive.org/details/magicofozfaithfu0000lfra,Bini Aru; Mopsi Aru; Kiki Aru; Ozma; Glinda; Wizard of Oz; Ruggedo; Dorothy Gale; Trot; Cap'n Bill; Glass Cat; Dr. Pipt; Margolotte; Patchwork Girl; Tin Woodman; Scarecrow; Eureka; Toto; Sawhorse; Cowardly Lion; Hungry Tiger; Gugu; Forest of Gugu; Kalidah; Lonesome Duck; H.M. Wogglebug T.E.; Betsy Bobbin; Tik-Tok; Aunt Em; Uncle Henry; Shaggy Man; Button-Bright; Ojo; Frogman; Jinjur; Captain Fyter; Shaggy Man's Brother; Jack Pumpkinhead; Hank; Billina; Mount Munch; Munchkin Country; Land of Ev; Deadly Desert; Nome Kingdom; Emerald City of Oz; Gillikin Country,"Mount Munch, The Hawk, Two Bad Ones, Conspirators, A Happy Corner of Oz, Ozma's Birthday Presents, The Forest of Gugu, The Li-Mon-Eags Make Trouble, The Isle of the Magic Flower, Stuck Fast, The Beasts of the Forest of Gugu, Kiki Uses His Magic, The Loss of the Black Bag, The Wizard Learns the Magic Word, The Lonesome Duck, The Glass Cat Finds the Black Bag, A Remarkable Journey, The Magic of the Wizard, Dorothy and the Bumble Bees, The Monkeys Have Trouble, The College of Athletic Arts, Ozma's Birthday Party, The Fountain of Oblivion",,,Public Domain; 1995,,
coll014,glindaofoz0000unse.pdf,Glinda of Oz,application/pdf,Reilly & Lee,L. Frank Baum,John R. Neill,1920,English,https://archive.org/details/glindaofoz0000unse,"Ozma; Dorothy Gale; Gillikin Country; Oogaboo; Deadly Deasert; Mist Maidens; Su-Dic; Rora; Coo-ee-oh; Aurex; Glinda; Wizard of Oz; Scarecrow; Tin Woodman; Patchwork Girl; Cowardly Lion; Tik-Tok; Jack Pumpkinhead; H.M. Wogglebug T.E.; Shaggy Man; Uncle Henry; Cap'n Bill; Glass Cat, Betsy Bobbin; Trot; Ojo; Button-Bright; Ervic; Reera the Red; Emerald City of Oz","The Call of Duty, Ozma and Dorothy, The Mist Maidens, The Magic Tent, The Magic Stairway, Flathead Mountain, The Magic Isle, Queen Coo-ee-oh, Lady Aurex, Under Water, The Conquest of the Skeezers, The Diamond Swan, The Alarm Bell, Ozma's Counsellors, The Great Sorceress, The Enchanted Fishes, Under the Great Dome, The Cleverness of Ervic, Red Reera the Yookoooohoo, A Puzzling Problem, The Three Adepts, The Sunken Island, The Magic Words, Glinda's Triumph",,,Public Domain; 1996,,
coll015,The_Royal_Book_of_Oz.pdf,The Royal Book of Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1921,English,https://archive.org/details/the-royal-book-of-oz-1,Silver Island; H.M. Wogglebug T.E.; Zif; Ozma; Jack Pumpkinhead; Dorothy Gale; Patchwork Girl; Tik-Tok; Scarecrow; Tin Woodman; Glass Cat; Cowardly Lion; Wizard of Oz; Sawhorse; Cap'n Bill; Betsy Bobbin; Billina; Hungry Tiger; A-B-Sea Serpent; Muddle; Jellia Jamb; Trot; Blink; Mops; Sir Hokus of the Pokes; Chief Poker; Pid; Grand Chew Chew; Happy Toko; Munchkin Country; King of the Golden Islands; Winkie Country; Comfortable Camel; Wish Way; Doubtful Dromedary,"Professor Wogglebug's Great Idea, The Scarecrow's Family Tree, Down the Magic Bean Pole, Dorothy's Lonely Breakfast, Sir Hokus of the Pokes, Singing Their Way Out of the Pokes, The Scarecrow is Hailed as Emperor!, The Scarecrow Studies the Silver Island, ""Save Us With Your Magic Exalted One!"", Princess Ozma and Betsy Bobbin Talk it Over, Sir Hokus Overcometh the Giant, Dorothy and Sir Hokus Come to Fix the City, Dancing Beds and the Road that Unrolled, Sons and Grandsons Greet the Scarecrow, The Three Prionces Plot to Undo the Emperor, Dorothy and Her Guardians Meet New Friends, Doubty and Camy Vanish Into Space, Dorothy Finds the Scarecrow!, Planning to Fly From the Silver Island, Dorothy Upsets the Ceremony of the Island, The Escape From the Silver Island, The Flight of the Parasol, Safe at Last in the Land of Oz, Homeward Bound to the Emerald City",,,Public Domain; 1997,,
coll016,kabumpoinoz00thom.pdf,Kabumpo in Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1922,English,https://archive.org/details/kabumpoinoz00thom,Prince Pompadore; Kabumpo; Wag; Peg Amy; Curious Cottabus; Dorothy Gale; Scarecrow; Patchwork Girl; Tik-Tok; Omby Amby; Glinda; Ozma; Ruggedo; Nome Kingdom; Glegg; Pumperdink; Gillikin Country; King Pompus; Faleero; Emerald City of Oz; Illumi Nation; Rith Metic; Cap'n Bill; Trot; Land of Ev; Sun Top Mountain; Nonestic Ocean,"The Exploding Birthday Cake, Picking a Proper Princess, Kabumpo and Pompa Disappear, The Curious Cottabus Appears, In the City of the Figure Heads, Ruggedo's History in Six Rocks, Sir Hokus and the Giants, Woe in the Emerald City, Mixed Magic Makes Mischief, Peg and Wag to the Rescue, The King of the Illumi Nation, The Delicious Sea of Soup, On the Road to Ev, Terror in Ozma's Palace, The Sand Man Takes a Hand, Kabumpo Vanquishes the Twigs, Meeting the Runaway Country, Prince Pompadore Proposes, Ozma Takes Things in Hand, The Proper Princess is Found, How it All Came About, Ruggedo's Last Rock",,,Public Domain; 1998,,
coll017,cowardlylionofoz00thom.pdf,The Cowardly Lion of Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1923,English,https://archive.org/details/cowardlylionofoz00thom,"Notta Bit More; Bobby Downs; Cowardly Lion; Nickadoodle the Snorer; Crunch, the Stone Man; Mustafa; Glinda; Dorothy Gale; Jack Pumpkinhead; Scarecrow; Tik-Tok; Tin Woodman; Ozma; Wizard of Oz; Wam; Mudge; Munchkin Country; Stumptown; Skyle of Un; Preservatory; Emerald City of Oz","Mustafa of Mudge, Magic at the Circus, At the Court of Mudge, Mustafa's Mandate, Two Cowardly Lion Hunters, The Seven Doors, The Escape From Doorways, The Cowardly Lion's Quest, In Search of A Brave Man, On the Isle of Un, A Strange Fishing Party, Saved by a Flyaboutabus, Mustafa's Blue Magic, Flying in a Deluge, Mustafa Keeps Watch, A Fall From the Sky, The Stone Man of Oz, Notta's Last Disguise, In the Emerald City, The Cowardly Lion's Peril, Oz Magic Triumphs, A Happy Home in Oz",,,Public Domain; 2019,,
coll018,grampainoz0000thom_1.pdf,Grampa in Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1924,English,https://archive.org/details/grampainoz0000thom/,Abrog; Grampa; Chin Chilly; Prince Tatters; Prince Forge John; Bill; King Fumbo; Mrs. Sew-and-Sew; Cinders; Petrix; Soot; Urtha; Humpus; Dorothy Gale; Toto; Percy Vere; Peer Haps; Ozma; Tin Woodman; Glinda; Scarecrow; Princess Pretty Good; Ragbad; Quadling Country; Chicago; Perhaps City; Maybe Mountains; Fire Island; Isa Poso; Monday Mountain,"A Rainy Day in Ragbad, The Wise Man Speaks, The Blue Forest of Oz, The Baffled Bandits, Down the Hollow Tree, The Wizard's Garden, The Winding Stairway, Strange Happenings in Perhaps City, Dorothy Meets a New Celebrity, Prince Forge John of Fire Island, Into the Volcano, The Island of Isa Poso, Tatters Receives the Reward, On Monday Mountain, The FGinding of Fumbo's Head!, Princess Dorothy Escapes, The Adventurers Meet, The Mischievous Play Fellows, Back to Perhaps City, The Prophet Confesses, Urtha is Transformed, Rejoicing in Ragbad",,,Public Domain; 2020,,
coll019,the-lost-king-of-oz_1.pdf,The Lost King of Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1925,English,https://archive.org/details/the-lost-king-of-oz,Mombi; King Kinda Jolly; Kimbaloo; Pajuka; Pastoria; Snip; Weenix; Emerald City of Oz; Catty Corners; Blankenburg; Tora; Dorothy Gale; Hollywood; Humpy; Eht Kcab Sdoow; Kabumpo; Ozma,"In Jolly Kimbaloo, Snip's Great Adventure, King Kinda Jolly is Sad, In the Purple Forest, The Rolling Hoopers, In Catty Corners, The Magic Pudding, The Mysterious Message, In the Castle of Morrow, Dorothy and the Dummy, A Real Oz Adventure, The Playful Scooters, Snip Meets the Blanks, The Old Tailor's Story, Kabumpo to the Rescue, Humpty Hailed as King, Mombi's Magic, Ozma's Odd Home-Coming, The Wizard Takes a Hand, The Lost King is Found, The Grand Procession",,,Public Domain; 2021,,
coll020,The_Hungry_Tiger_of_Oz.pdf,The Hungry Tiger of Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1926,English,https://archive.org/details/the-hungry-tiger-of-oz,Pasha; Ippty; Fizzenpop; Atmos Fere; Rusty Ore; Carter Green; Prince Evered; Hungry Tiger; Betsy Bobbin; Dorothy Gale; Kaliko; Guph; Dorothy Gale; Ozma; Wizard of Oz; Scarecrow; Cowardly Lion; Patchwork Girl; Trot; H.M. Wogglebug T.E.; Tik-Tok; Glinda; Prince Evardo; Doubtful Dromedary; Comfortable Camel; Irashi; Rash; Land of Ev; Emerald City of Oz; Down Town; Nome Kingdom; Nonestic Ocean,"The Pasha of Rash, Betsy's Birthday, The Hungry Tiger in Rash, The Vegetable Man of Oz, Prisoners in Rash, The Scarlet Prince, Escape from Rash, In Down Town, The Indus Tree, The Magic Spectacles, The Second Rash Ruby, Immense City, Beside the Wall, The Airman of Oz, Rusty Ore to the Rescue, Reddy and the Giants, The Big Wig's Secret, The Third Rash Ruby, Reddy Restored to the Throne, Safe in the Emerald City",,,Public Domain; 2022,,
coll021,The_Gnome_King_of_Oz.pdf,The Gnome King of Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1927,English,https://archive.org/details/the-gnome-king-of-oz,Patch; Oogaboo; WInkie Country; Cross Patch VI; Prime Piecer; Chief Scrapper; Emerald City of Oz; Patchwork Girl; Patch Castle; Grumpy; Philadelphia; Peter Brown; Balloon Island; Ruggedo; Ozma; Land of Ev; Nome Kingdom; Zamagoochie Country; Wizard of Oz; Kuma Party,"Queen Cross Patch Flits, The New Queen of the Quilties, Duties of the Quilty Queen, Peter Flies with an Odd Bird, Sea Tips Upside Down in Quake, Ruggedo Discovers Pirate's Treasure, Kaliko Falls as King of Gnomes, Peter Meets Kuma Party, Queeen Scraps Meets Peter, Escape from Patch at Last, Scraps Meets Sultan of Suds, Friend Oztrich Offers to Help, Tune Town Sings the Wanderers Onward, Ozwold and His Friends Rush On, Wumbo Wonder Worker at Home, Kuma's hand is at Work Again, Mystery in the Emerald City, The Theft of the Magic Belt, The Wizard Makes the Gnome King Visible, Peter is Made a Prince of Oz",,,Public Domain; 2023,,
coll022,The_Giant_Horse_of_Oz.pdf,The Giant Horse of Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1928,English,https://archive.org/details/the-giant-horse-of-oz,Philador; Herby; Scarecrow; Trot; Benny; High Boy; High Horse; Quilberonl Tattypool King Cheeriobed; Akbad; Wizard of Oz; Ozma; Ozure Isles; Lake Orizon; Munchkin Country; Dorothy Gale; Betsy Bobbin; Boston; Cave City; Up Town; Joe King; Emerald City of Oz,"The King of the Ozure Isles, The Golden Pear, The Strange Public Benefactor, Finding a Mortal Maiden, In the Cave of Quiberon, The Wicked Soothsayer, The Trials of Tattypoo, The Man in the Bottle, King of the Uplanders, High Times Up Town, The King of Cave City, Escape from Cave City, The Round-abouties, A Meeting of Celebrities, The Shutter Faces, The Lost Queen Returns, A Royal Welcome, The Tale of Tattypoo, Another Wishing Pill, Rulers East and North",,,Public Domain; 2024,,
coll023,the-wishing-horse-of-oz.pdf,The Wishing Horse of Oz,application/pdf,Reilly & Lee,Ruth Plumly Thompson,John R. Neill,1935,English,https://www.gutenberg.org/ebooks/55851,Skampavia; Noland; Skamperoo; Deadly Desert; Chalk; Dorothy Gale; Wizard of Oz; Emerald City of Oz; Omby Amby; Ozma; Glinda; Jinnicky the Red Jinn; Pigasus; Winkie Country; Black Forest; Gloma; Land of Ev; Kaliko; Nome Kingdom; Thunder Mountain; Nonestic Ocean; Seer of Some Summit; Pinny Penny,"The King of Skampavia, The King and the Merchant, More About the Emeralds, The King and His Talking Horse, A Great Celebration in Oz, A Strange Warning, What Wizard?, Way for the Emperor!, The Journey Begins, The Witch of the Black Forest, Black Magic, Farewell to the Black Forest, In Kalico's Castle, The Emperor of Oz, The Dooners!, The Seer of Some Summit, Skamperoo in Oz, The Emperor's Horse Makes a Bargain, The Story of the Necklaces, Back in Skampavia",,,Public Domain; 1963,,
